City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
677,Buchanan,LR,5.8808,-10.0467,77.16,88,98,7.11,light rain
678,Mariental,NA,-24.6333,17.9667,61.27,20,0,7.36,clear sky
679,Srednekolymsk,RU,67.45,153.6833,-1.41,79,36,8.21,scattered clouds
680,Beringovskiy,RU,63.05,179.3167,10.76,94,100,21.07,snow
681,Kawardha,IN,22.0167,81.25,90.34,27,0,4.41,clear sky
682,Yuncheng,CN,35.0231,110.9928,59.9,45,87,6.55,overcast clouds
683,Jalor,IN,25.35,72.6167,80.02,38,0,10.58,clear sky
684,Ponferrada,ES,42.5466,-6.5962,43.97,92,48,1.01,scattered clouds
685,Hanford,US,36.3275,-119.6457,49.98,59,0,10.36,clear sky
686,Waingapu,ID,-9.6567,120.2641,85.39,72,73,5.12,broken clouds
687,Yuzhou,CN,34.1628,113.4639,57.45,29,100,6.96,overcast clouds
688,Aguimes,ES,27.9054,-15.4461,63.66,52,0,12.66,clear sky
689,Mainburg,DE,48.65,11.7833,46.76,79,75,16.58,heavy intensity rain
690,Marsabit,KE,2.3284,37.9899,68.65,79,82,15.77,broken clouds
691,Weyburn,CA,49.6668,-103.8511,7.02,85,100,8.05,overcast clouds
692,Yershichi,RU,53.6725,32.7542,50.4,89,100,12.57,light rain
693,Mwense,ZM,-10.3845,28.698,67.95,94,97,3.4,overcast clouds
694,Dauriya,RU,49.9333,116.8667,19.71,78,38,7.47,scattered clouds
695,Kiunga,PG,-6.1219,141.2906,84.42,68,90,2.26,light rain
696,Grahamstown,ZA,-33.3042,26.5328,72.9,59,44,5.32,scattered clouds
